Index,Id,Date,Hexlat,Hexlong,Price,Bathrooms,Bedrooms,Condition,Floors,Grade,Sqft Above,Sqft Basement,Sqft Living,Sqft Living15,Sqft Lot,Sqft Lot15,View,Waterfront,Yr Built,Yr Renovated,Zipcode,Nuisance Crime,Other Crime,Property Crime,Violent Crimes
6,3600057,3/19/2015,47.58232333,-122.295,"402,500",2,4,3,1,7,760,890,1650,1480,3504,3504,0,0,1951,2013,98144,2,6,23,1
7,3600072,3/30/2015,47.58232333,-122.295,"680,000",2.75,4,5,1,7,1170,1050,2220,1540,5310,4200,0,0,1951,0,98144,2,6,23,1
9,5200087,7/9/2014,47.54190667,-122.305,"487,000",2.5,4,3,2,9,2540,0,2540,2360,5001,6834,0,0,2005,0,98108,2,2,4,
14,7400062,5/21/2014,47.53036,-122.285,"299,800",1,2,4,1,6,790,0,790,1430,5240,5320,0,0,1925,0,98118,7,6,21,6
15,7600057,8/5/2014,47.60253,-122.3,"520,000",2,3,4,2,7,1410,0,1410,1750,2700,4000,0,0,1902,0,98122,26,19,39,27
16,7600065,6/5/2014,47.59964333,-122.295,"465,000",2.25,3,3,2,9,1050,480,1530,1530,1245,2307,0,0,2014,0,98122,2,7,32,13
17,7600125,12/18/2014,47.60253,-122.31,"630,000",1,5,3,2,7,3020,0,3020,1350,4800,1307,0,0,1901,0,98122,23,9,93,27
18,7600136,7/18/2014,47.59964333,-122.315,"411,000",2,2,3,2,9,800,330,1130,1350,1148,1201,0,0,2007,0,98122,143,111,283,106
19,9000025,12/3/2014,47.68047333,-122.305,"496,000",1,2,4,2,7,1420,0,1420,1810,4635,4635,0,0,1941,1973,98115,2,8,31,
36,13001215,3/5/2015,47.5217,-122.33,"130,000",1,3,4,1,7,1100,0,1100,1450,5100,5100,0,0,1913,0,98108,4,,10,
37,13001795,10/14/2014,47.5217,-122.33,"319,500",2.75,4,4,1.5,7,1420,1080,2500,1430,5100,5100,0,0,1907,0,98108,4,,10,
38,13001991,9/2/2014,47.5217,-122.33,"207,000",2.5,3,3,2,7,1520,0,1520,1460,2550,2550,0,0,2005,0,98108,4,,10,
39,13002460,3/18/2015,47.5217,-122.33,"205,000",1.75,2,3,1,6,580,1160,1740,1440,5100,5100,0,0,1915,0,98108,4,,10,
40,13002495,7/7/2014,47.5217,-122.33,"295,000",1.5,3,4,2,7,1640,0,1640,1240,7222,5100,0,0,1908,0,98108,4,,10,
53,34000005,6/18/2014,47.53324667,-122.39,"343,566",1,2,3,1,7,1100,0,1100,1240,4200,4000,0,0,1954,0,98136,,3,13,3
54,34001160,9/19/2014,47.52747333,-122.39,"590,000",2,3,4,1,7,2100,930,3030,1990,9374,6012,1,0,1959,0,98136,5,4,23,2
55,34001304,4/10/2015,47.53324667,-122.39,"480,000",2.25,5,3,1,7,1490,750,2240,2010,5500,6050,0,0,1959,0,98136,,3,13,3
56,34001540,4/23/2015,47.53324667,-122.39,"573,300",1.75,2,3,1,7,870,420,1290,2380,6600,7370,2,0,1951,0,98136,,3,13,3
57,34001765,3/25/2015,47.53036,-122.385,"699,950",3.25,3,4,1,8,1430,800,2230,2070,5460,5600,1,0,1977,0,98136,2,2,18,1
58,37000335,8/14/2014,47.51592667,-122.38,"446,450",1.5,3,5,1,7,1480,0,1480,1140,7749,5320,0,0,1960,0,98126,2,4,21,2
59,37000435,2/14/2015,47.51304,-122.375,"325,000",1,2,4,1,7,1130,0,1130,860,5070,6300,0,0,1955,0,98146,4,,44,2
76,49000051,3/16/2015,47.51015333,-122.37,"350,000",1.75,2,3,1,7,1430,0,1430,1290,7921,8040,0,0,1983,0,98146,1,1,8,
80,52000067,11/3/2014,47.62851,-122.345,"495,000",3.5,3,3,2,7,1100,550,1650,1580,1577,1280,0,0,2012,0,98109,11,10,127,5
84,56000095,6/26/2014,47.57655,-122.405,"805,000",2.75,3,5,1.5,8,1600,1000,2600,2260,5875,5492,2,0,1929,0,98116,5,4,14,5
85,59000201,5/5/2015,47.57943667,-122.4,"611,206",1,1,3,1,8,1940,0,1940,2560,6300,6300,3,0,1963,0,98116,1,3,4,
86,59000250,12/3/2014,47.57943667,-122.4,"720,000",1.5,3,4,1,8,1090,1090,2180,2070,5000,5000,3,0,1941,0,98116,1,3,4,
87,59000445,9/23/2014,47.57943667,-122.4,"590,000",2.75,4,4,2,7,1540,700,2240,1830,5400,5000,0,0,1940,0,98116,1,3,4,
89,65000085,7/8/2014,47.54479333,-122.38,"430,000",2,3,5,1,7,830,720,1550,1330,6039,6042,0,0,1942,0,98126,3,2,17,1
90,65000210,6/26/2014,47.54479333,-122.38,"471,000",1.75,2,5,1,7,1240,0,1240,1800,6417,6417,0,0,1924,0,98126,3,2,17,1
91,65000260,8/20/2014,47.54479333,-122.38,"830,000",2.5,3,4,2,8,2840,530,3370,1500,6550,6550,2,0,1912,2001,98126,3,2,17,1
92,65000400,10/22/2014,47.54479333,-122.38,"570,000",3,4,5,1.5,7,1490,0,1490,1990,6766,6526,1,0,1915,0,98136,3,2,17,1
93,66000070,4/6/2015,47.55056667,-122.38,"315,000",1,2,3,1,5,630,0,630,1420,6550,6550,0,0,1918,0,98126,3,6,21,
94,66000140,11/20/2014,47.55056667,-122.38,"398,000",1,3,4,1.5,6,1480,0,1480,1200,6550,6550,0,0,1925,0,98126,3,6,21,
95,66000265,8/7/2014,47.55056667,-122.38,"370,000",1,2,3,1,7,820,0,820,1640,6550,6550,0,0,1949,2012,98126,3,6,21,
96,84000105,5/7/2014,47.48994667,-122.335,"255,000",2.25,5,3,1,7,1030,1030,2060,1010,8632,11680,0,0,1962,0,98146,,,1,
106,91000135,5/7/2015,47.68624667,-122.355,"750,000",1.5,4,3,1.5,7,1580,480,2060,1160,4000,4000,2,0,1920,1990,98103,7,8,44,6
107,91000320,9/23/2014,47.68624667,-122.355,"393,000",1,2,4,1,7,980,0,980,1260,3350,4000,0,0,1925,0,98103,7,8,44,6
136,100100050,11/12/2014,47.77284667,-122.305,"275,000",1,3,3,1,7,1320,0,1320,1320,11090,8319,0,0,1955,0,98155,,1,,
144,103000116,7/22/2014,47.67181333,-122.3,"645,000",1.75,3,4,1,7,1130,940,2070,1800,5500,4400,0,0,1946,0,98115,,7,28,
168,106000015,6/19/2014,47.70068,-122.37,"435,000",1.75,3,4,1,6,1310,0,1310,1420,8065,8100,0,0,1948,0,98117,4,9,9,2
169,106000044,8/26/2014,47.70068,-122.37,"399,950",1,3,3,1,7,1070,400,1470,1440,7930,8100,0,0,1950,0,98177,4,9,9,2
170,106000320,10/31/2014,47.70356667,-122.365,"401,000",1,2,4,1,7,840,0,840,1100,8100,8220,0,0,1948,0,98177,3,5,25,4
171,106000395,6/24/2014,47.70356667,-122.365,"405,000",1,3,4,1,7,1410,0,1410,1170,8053,8042,0,0,1951,0,98177,3,5,25,4
172,108000127,12/9/2014,47.70068,-122.36,"456,500",3.5,4,3,3,8,2000,0,2000,1440,2309,1548,0,0,2008,0,98177,5,19,47,9
203,117000001,5/27/2014,47.58232333,-122.385,"540,000",4.25,4,3,2,7,1960,0,1960,1920,3565,5750,0,0,1940,2003,98116,27,28,96,25
204,117000003,9/19/2014,47.58232333,-122.385,"595,000",2.25,4,5,1.5,7,1300,620,1920,1960,3225,3750,0,0,1923,0,98116,27,28,96,25
205,117000100,3/19/2015,47.58232333,-122.385,"680,000",1.75,3,4,1,7,1080,580,1660,2060,5750,5560,0,0,1909,0,98116,27,28,96,25
219,123000110,9/30/2014,47.67181333,-122.37,"520,000",1,2,3,1,7,910,0,910,1050,5000,5000,0,0,1924,0,98107,,2,26,
220,123039128,9/4/2014,47.51592667,-122.36,"325,000",1,4,4,1.5,6,1400,0,1400,1600,9384,8432,0,0,1948,0,98106,3,2,20,
221,123039147,3/19/2015,47.51304,-122.365,"464,950",2,3,3,1,7,2190,0,2190,1640,19800,9719,0,0,1994,0,98146,,,2,
222,123039176,12/12/2014,47.51304,-122.365,"399,888",1,4,4,1.5,7,1570,800,2370,1640,30200,9719,0,0,1948,0,98146,,,2,
223,123039207,12/9/2014,47.51304,-122.365,"283,000",2,4,3,1,7,1200,900,2100,1140,8160,8160,0,0,1959,0,98106,,,2,
224,123039279,7/11/2014,47.51592667,-122.36,"165,000",1,2,3,1,6,640,0,640,840,7768,7424,0,0,1942,0,98106,3,2,20,
225,123039313,4/10/2015,47.51592667,-122.37,"425,000",2.5,4,2,2,7,1920,0,1920,1530,9000,10474,0,0,1989,0,98126,1,6,9,3
226,123039333,6/9/2014,47.51304,-122.365,"240,000",1,4,3,1.5,6,1910,0,1910,1380,16320,9000,0,0,1934,0,98106,,,2,
227,123039336,6/11/2014,47.51304,-122.365,"148,000",1,1,3,1,5,620,0,620,1180,8261,8244,0,0,1939,0,98106,,,2,
228,123039336,12/8/2014,47.51304,-122.365,"244,900",1,1,3,1,5,620,0,620,1180,8261,8244,0,0,1939,0,98106,,,2,
230,123039364,5/21/2014,47.51592667,-122.36,"300,000",1,2,3,1,6,970,0,970,1570,13700,10880,0,0,1949,0,98106,3,2,20,
231,123039376,8/20/2014,47.51304,-122.365,"535,000",2.75,4,3,1,8,2360,0,2360,1440,15100,13346,0,0,2014,0,98146,,,2,
232,123039420,4/28/2015,47.50438,-122.37,"309,000",1,3,4,1,7,1300,0,1300,1740,7200,7100,0,0,1952,0,98146,,,6,
233,123039424,7/10/2014,47.50726667,-122.375,"303,000",2,2,5,1,6,970,0,970,1850,9750,9000,0,0,1940,0,98146,5,2,30,
234,123039570,7/8/2014,47.50438,-122.37,"485,000",2.25,4,3,1,8,1370,530,1900,2030,7200,8008,0,0,1977,0,98146,,,6,
235,123039604,7/1/2014,47.51592667,-122.36,"102,500",1,2,3,1,5,820,0,820,780,4320,7424,0,0,1937,0,98106,3,2,20,
236,123039626,10/22/2014,47.51304,-122.365,"295,000",2.25,3,3,1,7,900,430,1330,1380,7200,9570,0,0,1974,0,98146,,,2,
237,123039633,9/9/2014,47.51592667,-122.37,"359,950",1.75,3,3,1,7,1040,530,1570,1280,6975,7813,0,0,1979,0,98126,1,6,9,3
238,123039642,5/1/2015,47.50438,-122.37,"540,000",2.5,3,3,1,7,1320,650,1970,2030,14876,8008,0,0,1981,0,98146,,,6,
244,124000160,7/1/2014,47.66315,-122.365,"563,000",1,4,5,1.5,7,1410,0,1410,1040,3376,3600,0,0,1911,0,98107,5,3,38,2
246,125039021,9/24/2014,47.68336,-122.36,"575,000",1,2,3,1.5,7,880,350,1230,1710,2726,3750,0,0,1920,0,98117,3,4,36,2
247,125039025,6/11/2014,47.68336,-122.36,"530,000",1.75,3,3,1,7,1050,500,1550,1560,3680,4000,0,0,1927,0,98117,3,4,36,2
274,127100005,4/1/2015,47.77573333,-122.34,"377,000",1.75,4,5,1,6,900,900,1800,1770,8385,8385,0,0,1950,0,98133,,1,,
276,130000175,8/6/2014,47.70068,-122.29,"655,000",2.75,4,3,1,8,1580,1580,3160,2050,8197,8197,0,0,1962,0,98115,3,2,10,3
281,136000220,3/25/2015,47.57655,-122.395,"593,000",2.5,2,3,3,8,1810,190,2000,1970,2500,5650,1,0,1994,0,98116,1,4,10,1
282,139000185,4/28/2015,47.58809667,-122.395,"800,000",2.5,3,3,2,7,2100,0,2100,2100,4440,6000,4,0,1945,0,98116,3,4,10,2
283,142000165,5/7/2014,47.56789,-122.4,"749,950",2.75,4,5,2,8,1960,640,2600,1990,6050,6050,0,0,1949,0,98116,3,3,11,
284,142000175,8/22/2014,47.56789,-122.4,"625,000",1.75,3,4,1,8,1250,990,2240,1720,6050,6050,0,0,1950,0,98116,3,3,11,
285,148000035,6/2/2014,47.57655,-122.405,"544,000",1.5,3,3,1.5,7,1790,0,1790,1960,8203,6047,1,0,1910,0,98116,5,4,14,5
286,148000072,8/18/2014,47.57943667,-122.41,"600,000",2.5,2,3,2,9,1530,300,1830,1800,1988,2467,0,0,2011,0,98116,16,11,56,7
287,148000375,6/19/2014,47.57655,-122.415,"945,000",2.5,2,3,2,9,2540,0,2540,1330,7089,7089,0,0,2004,0,98116,8,2,13,
288,148000440,8/18/2014,47.57655,-122.415,"313,300",1,2,3,1,6,970,0,970,1180,4800,5900,0,0,1911,1940,98116,8,2,13,
289,148000450,5/30/2014,47.57655,-122.415,"399,000",1,2,4,1,6,940,0,940,980,4800,5900,0,0,1911,1955,98116,8,2,13,
290,148000475,5/28/2014,47.57655,-122.405,"1,400,000",3.25,4,3,1,11,2520,2180,4700,2240,9160,8700,4,0,2005,0,98116,5,4,14,5
291,148000590,7/31/2014,47.57366333,-122.41,"725,000",2.75,4,4,1.5,7,1640,800,2440,2170,7042,7900,2,0,1941,0,98116,1,4,23,2
292,148000680,10/27/2014,47.57366333,-122.41,"530,000",1.75,3,3,1,7,960,700,1660,1510,4800,4800,0,0,1941,1996,98116,1,4,23,2
293,148000705,3/5/2015,47.57366333,-122.41,"900,000",3.5,4,3,2,9,2030,1040,3070,1780,4440,4800,0,0,1922,2007,98116,1,4,23,2
294,151000075,2/6/2015,47.57655,-122.415,"856,000",2.5,3,3,2,9,2160,0,2160,1500,3920,4920,0,0,2014,0,98116,8,2,13,
295,161000120,11/18/2014,47.58809667,-122.295,"650,000",2,4,3,1.5,7,1730,1120,2850,2450,4497,6000,1,0,1910,0,98144,3,5,32,2
299,164000174,9/8/2014,47.72954667,-122.35,"300,000",1,3,3,1,7,1010,0,1010,1480,6300,7480,0,0,1957,0,98133,19,6,27,7
300,164000237,6/12/2014,47.72954667,-122.35,"495,000",2.5,4,3,2,7,2140,0,2140,2080,7245,7875,0,0,2003,0,98133,19,6,27,7
301,164000261,5/21/2014,47.72954667,-122.35,"700,000",3.25,4,3,2,9,2780,0,2780,1000,7875,7500,0,0,2006,0,98133,19,6,27,7
302,164000267,10/16/2014,47.72954667,-122.35,"311,300",1,2,4,1,7,1000,0,1000,1100,7228,7228,0,0,1947,0,98133,19,6,27,7
303,164000271,9/5/2014,47.72954667,-122.35,"340,000",1,3,3,1.5,7,980,0,980,1070,7228,7228,0,0,1946,0,98133,19,6,27,7
304,164000361,4/21/2015,47.72954667,-122.35,"799,000",1.5,4,3,1,7,1500,310,1810,860,6583,8670,0,0,1968,0,98133,19,6,27,7
305,170000060,10/8/2014,47.66026333,-122.36,"1,200,000",3.5,5,3,2,9,2650,1250,3900,1190,4400,4400,0,0,2014,0,98107,4,3,23,1
306,170000215,3/24/2015,47.66315,-122.365,"752,500",2.75,5,4,1.5,8,1710,1010,2720,1670,4680,4800,0,0,1913,0,98107,5,3,38,2
307,173000025,8/25/2014,47.73243333,-122.355,"316,000",1,3,4,1.5,6,1130,0,1130,1350,7200,1358,0,0,1942,0,98133,10,3,36,9
308,173000036,10/7/2014,47.73243333,-122.355,"327,000",3,3,3,3,8,1370,0,1370,1399,1001,1151,0,0,2009,0,98133,10,3,36,9
309,173000140,7/22/2014,47.72666,-122.355,"487,000",1.75,3,3,2,7,1770,0,1770,1680,10125,9825,0,0,1944,1978,98133,12,7,48,9
316,179001425,10/24/2014,47.48994667,-122.275,"230,000",1.75,3,3,1,5,710,710,1420,1960,3000,5000,0,0,1931,2014,98178,1,,,
318,179003055,11/13/2014,47.48994667,-122.275,"210,000",1,3,3,1,6,1200,0,1200,1010,7500,7000,0,0,1905,1989,98178,1,,,
320,185000118,2/23/2015,47.49572,-122.265,"212,000",2,4,5,1,6,980,900,1880,1670,7500,14350,0,0,1946,0,98178,1,1,9,3
347,194000145,3/12/2015,47.56789,-122.39,"745,000",2.75,4,5,1.5,8,2070,340,2410,1960,5650,5650,0,0,1909,0,98116,,1,21,
348,194000505,9/4/2014,47.56789,-122.39,"651,000",2,3,5,1,7,970,970,1940,1730,6440,4640,2,0,1940,0,98116,,1,21,
349,194000565,4/9/2015,47.56789,-122.39,"505,000",1,2,3,1,7,1000,0,1000,1940,4640,5800,2,0,1915,0,98116,,1,21,
350,194000575,10/14/2014,47.56789,-122.39,"455,000",1,4,3,1.5,7,1340,0,1340,1900,5800,5800,2,0,1914,0,98116,,1,21,
394,207500012,5/5/2014,47.64005667,-122.395,"855,000",2.75,4,4,1,8,1300,1300,2600,2550,5390,5600,0,0,1960,0,98199,4,1,14,3
397,208500160,1/7/2015,47.67758667,-122.29,"760,000",2.5,4,5,1,8,1470,960,2430,2180,6099,6099,0,0,1965,0,98115,7,4,41,4
413,223039229,9/2/2014,47.51015333,-122.39,"787,500",2.5,2,4,2,8,1810,580,2390,2390,6928,12852,3,0,1949,1982,98146,1,3,14,
414,223039254,6/24/2014,47.51015333,-122.39,"329,950",1,2,4,1,6,900,0,900,1480,5220,6660,0,0,1956,0,98146,1,3,14,
415,223039330,4/7/2015,47.51015333,-122.39,"1,050,000",3,3,3,2,10,3250,0,3250,2820,5093,7752,3,0,2004,0,98146,1,3,14,
416,223049087,6/16/2014,47.51592667,-122.26,"277,000",1,3,4,1,7,1100,0,1100,1570,8536,8040,0,0,1957,0,98118,6,4,36,6
431,225039029,3/17/2015,47.68336,-122.39,"525,000",1.5,3,4,1,7,1440,500,1940,1460,5625,5500,0,0,1941,0,98117,1,,20,1
432,225039049,9/8/2014,47.68336,-122.4,"590,000",1,2,4,1,7,1530,0,1530,1530,6450,5000,0,0,1920,0,98117,2,,7,
433,225039069,10/10/2014,47.68624667,-122.395,"696,950",2.75,4,4,1.5,7,1550,900,2450,1920,5376,5264,0,0,1920,0,98117,2,1,19,
434,225039082,5/14/2014,47.68336,-122.4,"620,000",2.5,5,5,2,8,1760,780,2540,2000,3832,5289,0,0,1929,0,98117,2,,7,
435,225039145,6/19/2014,47.68624667,-122.395,"285,000",1,3,3,1.5,7,1210,0,1210,1450,4731,5264,0,0,1901,0,98117,2,1,19,
436,225039175,5/13/2014,47.68336,-122.39,"525,000",3,5,3,2,7,2450,0,2450,1060,4591,5500,0,0,1994,0,98117,1,,20,1
437,225039177,12/8/2014,47.68913333,-122.39,"726,500",2.5,4,3,2,8,2180,0,2180,1710,3893,4550,0,0,1999,0,98117,7,7,28,5
459,235000075,7/18/2014,47.56211667,-122.3,"531,000",2.75,5,4,1,8,1540,1000,2540,2510,5022,5182,0,0,1955,0,98108,2,2,20,2
502,254000020,6/5/2014,47.51592667,-122.39,"453,500",1.75,4,3,1,7,1300,700,2000,1930,6032,6032,2,0,1959,0,98146,4,4,23,2
503,254000075,5/19/2014,47.51304,-122.385,"368,000",1.5,2,5,1,6,830,830,1660,1930,4680,5400,0,0,1908,0,98146,,2,21,
504,254000100,6/20/2014,47.51304,-122.385,"665,900",2.25,4,4,2,8,2220,650,2870,1660,5453,4800,1,0,1926,0,98146,,2,21,
505,254000175,8/19/2014,47.51304,-122.385,"325,000",1,2,4,1,7,1050,0,1050,1230,4800,4800,0,0,1969,0,98146,,2,21,
506,254000241,3/24/2015,47.51304,-122.385,"540,000",2.5,3,3,2,8,2220,0,2220,1610,5279,5297,0,0,2006,0,98146,,2,21,
507,254000445,1/29/2015,47.51304,-122.385,"480,000",3.75,6,3,2,7,2940,0,2940,1530,5054,5320,0,0,1942,2003,98146,,2,21,
508,254000545,10/23/2014,47.51304,-122.385,"385,000",2.5,4,4,2,7,1620,0,1620,1590,5280,5280,0,0,1924,1971,98146,,2,21,
509,254000695,5/8/2015,47.51304,-122.385,"410,000",1,3,4,1,7,1190,0,1190,1280,5280,5280,0,0,1957,0,98146,,2,21,
510,254000735,8/6/2014,47.51304,-122.385,"329,000",1,3,3,1.5,6,1140,0,1140,1140,5258,5280,0,0,1911,0,98146,,2,21,
540,257000037,12/29/2014,47.49283333,-122.3,"200,000",1,3,3,1,7,1220,900,2120,1790,31564,11571,0,0,1942,0,98168,,,1,
542,257000057,9/16/2014,47.49283333,-122.3,"213,500",1.5,3,3,1,7,1150,0,1150,1630,11571,11571,0,0,1961,0,98168,,,1,
543,257000105,5/20/2014,47.49283333,-122.3,"192,500",1,2,3,1,6,950,0,950,1820,7692,8221,0,0,1926,0,98168,,,1,
545,257000263,10/21/2014,47.49283333,-122.3,"182,200",1,4,3,1.5,6,1130,0,1130,1800,13927,8274,0,0,1929,0,98168,,,1,
578,263000006,12/16/2014,47.69779333,-122.345,"375,000",2.5,3,3,3,8,1530,0,1530,1530,1131,1445,0,0,2009,0,98103,33,23,72,12
579,263000009,1/29/2015,47.69779333,-122.345,"375,000",2.5,3,3,3,8,1440,0,1440,1440,1102,1434,0,0,2009,0,98103,33,23,72,12
580,263000018,5/21/2014,47.69779333,-122.345,"360,000",2.5,3,3,3,8,1530,0,1530,1530,1131,1509,0,0,2009,0,98103,33,23,72,12
581,263000040,10/1/2014,47.70068,-122.35,"452,000",2.5,3,3,2,7,1530,0,1530,1450,5032,2136,0,0,1998,0,98103,11,3,37,5
582,263000050,10/31/2014,47.70068,-122.35,"730,000",2.5,3,3,1,9,1540,620,2160,930,8809,5420,0,0,2014,0,98103,11,3,37,5
583,263000155,5/5/2014,47.69779333,-122.345,"418,000",2,3,4,1.5,7,1410,0,1410,1410,6030,6300,0,0,1930,0,98103,33,23,72,12
584,263000164,12/17/2014,47.69779333,-122.345,"425,000",1,2,4,1,6,830,0,830,1280,6030,6030,0,0,1925,0,98103,33,23,72,12
585,263000253,3/30/2015,47.69779333,-122.345,"380,000",2.25,3,3,3,8,1550,0,1550,1550,1485,1480,0,0,2011,0,98103,33,23,72,12
586,263000255,12/2/2014,47.69779333,-122.345,"375,000",2.25,3,3,3,8,1540,0,1540,1540,1561,1547,0,0,2010,0,98103,33,23,72,12
587,263000280,12/2/2014,47.70068,-122.35,"450,000",2,3,3,1.5,7,1150,0,1150,1230,4500,5400,0,0,1917,1991,98103,11,3,37,5
588,263000291,9/4/2014,47.70068,-122.35,"433,500",1.75,3,4,1,6,1040,500,1540,1200,9450,5400,0,0,1919,0,98103,11,3,37,5
589,263000324,5/13/2014,47.70068,-122.35,"550,000",4,7,3,2,7,3440,0,3440,1420,8100,1560,0,0,1970,0,98103,11,3,37,5
590,263000325,6/11/2014,47.70068,-122.35,"349,000",2.5,3,3,3,8,1430,0,1430,1430,1002,1530,0,0,2002,0,98103,11,3,37,5
591,263000327,2/27/2015,47.70068,-122.35,"400,000",2.5,3,3,3,8,1460,0,1460,1430,1319,1530,0,0,2002,0,98103,11,3,37,5
592,263000329,10/8/2014,47.70068,-122.35,"349,950",2.5,3,3,3,8,1420,0,1420,1430,1162,1560,0,0,2002,0,98103,11,3,37,5
593,263000359,6/30/2014,47.69779333,-122.345,"355,000",2.25,3,3,3,8,1370,0,1370,1370,1524,1418,0,0,2005,0,98103,33,23,72,12
599,269000030,8/25/2014,47.64871667,-122.39,"976,000",1.5,4,3,1,8,1660,1460,3120,2900,7680,7680,3,0,1956,0,98199,4,4,30,2
600,269000070,1/6/2015,47.64871667,-122.39,"608,000",3,4,3,1,7,1200,1200,2400,2670,7680,6342,0,0,1956,0,98199,4,4,30,2
601,269000085,7/8/2014,47.64871667,-122.39,"1,195,000",3.5,4,3,2,10,2850,1110,3960,2840,6654,6400,0,0,2006,0,98199,4,4,30,2
602,269000221,8/26/2014,47.64294333,-122.39,"779,000",1.75,3,4,1,8,1420,900,2320,2540,6400,7680,2,0,1957,0,98199,2,,13,
